SKU,Parent SKU,Title,Description,Tags,MetaTags,MetaDescription,MobileDescription,Category,Category2,StoreCategory,StoreCategory2,PrivateListing,Quantity,WarehouseQuantity,InventoryControl,Price,WholesalePrice,OriginalRetailPrice,Currency,BestOffer,BestOfferAccept,BestOfferDecline,VATPercent,ListingDuration,AuctionStartPrice,AuctionReservePrice,AuctionBINPrice,ASIN,UPC,EAN,MPN,Brand,Manufacturer,Size,Color,Material,CustomSpecificBatteries Included,CustomSpecificDiameter,CustomSpecificPower,Condition,ConditionNote,CountryCode,Location,PostalCode,PolicyPayment,PolicyShipping,PolicyReturn,GlobalShipping,PackageType,MeasurementSystem,PackageLength,PackageWidth,PackageDepth,WeightMajor,WeightMinor,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,VariationImageOption,VariationImageValue1,VariationImage1_1,VariationImageValue2,VariationImage2_1,SelfHostedImages,eBayHostedImages,Condition Description,Availability,Postal Code,Country,Shipping Service,Shipping Cost,Shipping Time,Shipping Time Max,Shipping Time Min
,, Amazing Fantasy #1000 1000P,Just Some Guy / Sinister 60th / Spider-Man vs. Conspiriton /  The Kid's Got a Good Eye / In the Flesh / Slaves of the Witch-Queen / You Get It / With Great Power... / Along Came a Rhino... P Tyler Kirkham NYCC 2022 Whatnot & Midtown Comics Exclusive Virgin Variant,,,,,259104,,,,,1,,,38.0,,,USD,,,,,,,,,,,,,,,,,,,,,New,,,,93635,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM 9+,in stock,93635,US,USPS Media Mail,6.00,3-5,5-7,3-5
,, Armorclads 1E, E Incentive Livio Ramondelli Distressed Metal Variant Cover,,,,,259104,,,,,,,,205.0,,,USD,,,,,,,,,,,,,,,,,,,,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM 9+,in stock,93635,US,USPS Media Mail,6.00,3-5,5-7,3-5
,, Batman versus Predator 3B,Book 3 B Premium Edition,,,,,259104,,,,,,,,27.0,,,USD,,,,,,,,,,,,,,,,,,,,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM 9+,in stock,93635,US,USPS Media Mail,6.00,3-5,5-7,3-5
,," Batman, Vol. 3 125W", W Alex Ross - Cover A,,,,,259104,,,,,,,,50.0,,,USD,,,,,,,,,,,,,,,,,,,,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM 9+,in stock,93635,US,USPS Media Mail,6.00,3-5,5-7,3-5
,, Briar 1F, F Jenny Frison Red Variant,,,,,259104,,,,,,,,25.0,,,USD,,,,,,,,,,,,,,,,,,,,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM 9+,in stock,93635,US,USPS Media Mail,6.00,3-5,5-7,3-5
,, BRZRKR 2G, G Incentive John Paul Leon Virgin Cover,,,,,259104,,,,,,,,40.0,,,USD,,,,,,,,,,,,,,,,,,,,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM 9+,in stock,93635,US,USPS Media Mail,6.00,3-5,5-7,3-5
,," Catwoman, Vol. 5 45E", E Carla Cohen Variant,,,,,259104,,,,,,,,30.0,,,USD,,,,,,,,,,,,,,,,,,,,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM 9+,in stock,93635,US,USPS Media Mail,6.00,3-5,5-7,3-5
,, Closet 1AD, AD Zu Orzu Variant,,,,,259104,,,,,,,,24.0,,,USD,,,,,,,,,,,,,,,,,,,,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM 9+,in stock,93635,US,USPS Media Mail,6.00,3-5,5-7,3-5
,, Damn Them All 1G, G Incentive Sean Phillips Variant,,,,,259104,,,,,,,,42.0,,,USD,,,,,,,,,,,,,,,,,,,,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM 9+,in stock,93635,US,USPS Media Mail,6.00,3-5,5-7,3-5
,," Daredevil, Vol. 7 1D", D E.M. Gist Virgin,,,,,259104,,,,,,,,30.0,,,USD,,,,,,,,,,,,,,,,,,,,,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NM 9+,in stock,93635,US,USPS Media Mail,6.00,3-5,5-7,3-5
