sku,title,upc,isbn,asin,condition,condition_for_amazon,condition_description,category_id,ebay_store_category_1,ebay_store_category_2,item_description,item_weight_lbs,item_weight_oz,item_dimensions_length,item_dimensions_width,item_dimensions_depth,image_url_1,image_url_2,image_url_3,image_url_4,image_url_5,image_url_6,image_url_7,image_url_8,image_url_9,image_url_10,image_url_11,image_url_12,auto_synced_qty,allocated_qty_ebay,allocated_qty_amazon,allocated_qty_morecommerce,allocated_qty_facebook,price_ebay,price_amazon,price_morecommerce,price_facebook,ebay_best_offer_enabled,ebay_best_offer_autoaccept_price,ebay_minimum_best_offer_price,ebay_shipfrom_zipcode,standard_shipping_cost,standard_shipping_add_item_cost,activate_ebay,activate_amazon,activate_morecommerce,activate_facebook,album_completion_item_specific,author_item_specific,blockchain_item_specific,book_title_item_specific,brand_item_specific,break_type_item_specific,collection_item_specific,color_item_specific,contract_address_item_specific,creator_item_specific,department_item_specific,franchise_item_specific,graded_item_specific,ink_color_item_specific,installation_item_specific,item_height_item_specific,item_length_item_specific,item_width_item_specific,language_item_specific,manufacturer_item_specific,material_item_specific,model_item_specific,product_item_specific,publication_name_item_specific,set_item_specific,size_item_specific,stove_type_compatibility_item_specific,token_id_item_specific,type_item_specific,shipping_cost,item_dimensions_height,image_url
br_kn281211, Amazing Fantasy #1000 1000P,7.596060997570011e+16,,,1000,,NM 9+,259104,,,Just Some Guy / Sinister 60th / Spider-Man vs. Conspiriton /  The Kid's Got a Good Eye / In the Flesh / Slaves of the Witch-Queen / You Get It / With Great Power... / Along Came a Rhino... P Tyler Kirkham NYCC 2022 Whatnot & Midtown Comics Exclusive Virgin Variant,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,30.400000000000002,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn683114, Armorclads 1E,8.589920038190014e+16,,,1000,,NM 9+,259104,,, E Incentive Livio Ramondelli Distressed Metal Variant Cover,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,164.0,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn208817, Batman versus Predator 3B,nan,,,1000,,NM 9+,259104,,,Book 3 B Premium Edition,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,21.6,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn974590," Batman, Vol. 3 125W",7.619413418281253e+16,,,1000,,NM 9+,259104,,, W Alex Ross - Cover A,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,40.0,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn832778, Briar 1F,8.442840087470106e+16,,,1000,,NM 9+,259104,,, F Jenny Frison Red Variant,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,20.0,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn451548, BRZRKR 2G,8.442840079550206e+16,,,1000,,NM 9+,259104,,, G Incentive John Paul Leon Virgin Cover,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,32.0,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn291861," Catwoman, Vol. 5 45E",7.619413568220454e+16,,,1000,,NM 9+,259104,,, E Carla Cohen Variant,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,24.0,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn953782, Closet 1AD,7.098530350530012e+16,,,1000,,NM 9+,259104,,, AD Zu Orzu Variant,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,19.200000000000003,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn337866, Damn Them All 1G,8.442840089070107e+16,,,1000,,NM 9+,259104,,, G Incentive Sean Phillips Variant,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,33.6,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn205459," Daredevil, Vol. 7 1D",7.596062038950013e+16,,,1000,,NM 9+,259104,,, D E.M. Gist Virgin,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,24.0,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn254839, Dark Spaces Wildfire 1A,8.277140306620011e+16,,,1000,,NM 9+,259104,,, A ,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,12.0,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn910788, The Department of Truth 1AM,7.098530303240011e+16,,,1000,,NM 9+,259104,,,Chapter One AM 6th Final Print Martin Simmonds,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,44.0,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn609836," Edge of Spider-Verse, Vol. 2 2G",7.596062039940027e+16,,,1000,,NM 9+,259104,,, G Peach Momoko Virgin Variant,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,52.0,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn715315, Eve 2C,8.442840081500203e+16,,,1000,,NM 9+,259104,,, C Incentive Dan Mora Virgin Cover,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,20.0,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn446640, Eve 4C,8.442840081500403e+16,,,1000,,NM 9+,259104,,, C 10 Copy Incentive Meyers,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,12.0,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn820592," Ghost Rider 2099, Vol. 1 1B",7.596060115750013e+16,,,1000,,NM 9+,259104,,,Burning Chrome B Foil Cover,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,16.8,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn968274, House of Slaughter 1H,8.442840083030109e+16,,,1000,,NM 9+,259104,,, H Jenny Frison 1:200 Incentive Foil Variant,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,80.0,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn577474, I Make Boys Cry 1A,7.935973530470011e+16,,,1000,,NM 9+,259104,,, A Jamie Tyndall,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,14.4,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn548299, Joe Hill: Rain 1E,7.098530329530016e+16,,,1000,,NM 9+,259104,,, E 50 Copy Incentive Deliz,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,22.400000000000002,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
br_kn584009, Joe Hill: Rain 1F,7.098530329530017e+16,,,1000,,NM 9+,259104,,, F 100 Copy Incentive Thorogood Sketch,,6.00,12.75,7.75,,,,,,,,,,,,,,1,,,,,38.400000000000006,,,,,,,93635,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,0.75,http://epyc.xalg.im/
