Temp,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Parent,Upsells,Cross-sells,Position,Meta: scd_other_options,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global
,simple,br_kn000," 007, Vol. 1 1C",0,,visible,, C Marc Lanning Variant,,,taxable,,1,1,,,,,,,,,,,3.6,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,Dynamite Entertainment,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn001," 007, Vol. 1 2J",0,,visible,, J Marco Finnegan Cover,,,taxable,,1,1,,,,,,,,,,,2.7,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,Dynamite Entertainment,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn002," 007, Vol. 1 2O",0,,visible,, O Tommy Lee Edwards Virgin,,,taxable,,1,1,,,,,,,,,,,45.0,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,Dynamite Entertainment,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn003, 06 Protocol 1C,0,,visible,, C Cvr B 15 Copy Incentive Wooton,,,taxable,,1,1,,,,,,,,,,,7.2,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,AfterShock Comics,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn004,Top Cow Productions 21 1A,0,,visible,, A Regular Cover,,,taxable,,1,1,,,,,,,,,,,nan,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,Image Comics,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn005,Top Cow Productions 21 1B,0,,visible,, B Variant Cover,,,taxable,,1,1,,,,,,,,,,,nan,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,Image Comics,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn006,Top Cow Productions 21 3,0,,visible,,  ,,,taxable,,1,1,,,,,,,,,,,nan,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,Image Comics,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn007, 3Keys 1A,0,,visible,, A ,,,taxable,,1,1,,,,,,,,,,,2.7,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,Image Comics,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn008, 3Keys 1B,0,,visible,, B ,,,taxable,,1,1,,,,,,,,,,,4.5,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,Image Comics,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn009, 3Keys 2A,0,,visible,, A ,,,taxable,,1,1,,,,,,,,,,,3.6,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,Image Comics,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn0010, 7174 Presents 1B,0,,visible,, B ,,,taxable,,1,1,,,,,,,,,,,4.5,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,Image Comics,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn0011, A.X.E.: Judgment Day 4H,0,,visible,,A.X.E.: Judgment Day  H David Nakayama Trade Dress Variant,,,taxable,,1,1,,,,,,,,,,,nan,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,Marvel Comics,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn0012, A.X.E.: Judgment Day 4I,0,,visible,,A.X.E.: Judgment Day  I David Nakayama Virgin Variant,,,taxable,,1,1,,,,,,,,,,,0.9,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,Marvel Comics,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn0013, A.X.E.: Judgment Day - Omega 1A,0,,visible,,A.X.E.: Judgment Day  A Pasqual Ferry Regular Cover,,,taxable,,1,1,,,,,,,,,,,4.5,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,Marvel Comics,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn0014, A.X.E.: Judgment Day - Omega 1B,0,,visible,, B Peach Momoko Cover,,,taxable,,1,1,,,,,,,,,,,4.5,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,Marvel Comics,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn0015, A.X.E.: Judgment Day - Omega 1D,0,,visible,, D Alexander Lozano Variant,,,taxable,,1,1,,,,,,,,,,,4.5,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,Marvel Comics,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn0016, Absolution (AWA) 1A,0,,visible,, A ,,,taxable,,1,1,,,,,,,,,,,4.5,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,AWA Studios,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn0017, Absolution (AWA) 2,0,,visible,,  ,,,taxable,,1,1,,,,,,,,,,,2.7,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,AWA Studios,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn0018, Absolution (AWA) 3,0,,visible,,  ,,,taxable,,1,1,,,,,,,,,,,2.7,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,AWA,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn0019, Absolution (AWA) 3,0,,visible,,  ,,,taxable,,1,1,,,,,,,,,,,2.7,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,AWA,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
,simple,br_kn0020, Absolution (AWA) 4,0,,visible,,  ,,,taxable,,1,1,,,,,,,,,,,2.7,"RAW, MODERN AGE",,,,,,,,s:0:,Publisher,AWA,1,1,Estimated Grade,NM-/NM+,1,1,,,,,,,,
